"model","file_name","run_id","reason"
"FP16","run_0006_2651.log","run_0006_2651","latency_s_per_token_outlier"
"FP16","run_0167_6453.log","run_0167_6453","latency_s_per_token_outlier"
"FP16","run_0296_1883.log","run_0296_1883","latency_s_per_token_outlier"
"FP16","run_0297_4302.log","run_0297_4302","latency_s_per_token_outlier"
"FP16","run_0375_3854.log","run_0375_3854","latency_s_per_token_outlier"
"FP16","run_0398_8861.log","run_0398_8861","latency_s_per_token_outlier"
"FP16","run_0501_4243.log","run_0501_4243","latency_s_per_token_outlier"
"FP16","run_0569_2106.log","run_0569_2106","latency_s_per_token_outlier"
"FP16","run_0615_2334.log","run_0615_2334","latency_s_per_token_outlier"
"FP16","run_0660_5943.log","run_0660_5943","latency_s_per_token_outlier"
"FP16","run_0280_6952.log","run_0280_6952","cpu_percent_outlier"
"FP16","run_0330_3997.log","run_0330_3997","cpu_percent_outlier"
"FP16","run_0363_2562.log","run_0363_2562","cpu_percent_outlier"
"FP16","run_0467_3752.log","run_0467_3752","cpu_percent_outlier"
"FP16","run_0502_6813.log","run_0502_6813","cpu_percent_outlier"
"FP16","run_0837_9214.log","run_0837_9214","cpu_percent_outlier"
"INT8","run_0037_8861.log","run_0037_8861","latency_s_per_token_outlier"
"INT8","run_0177_4243.log","run_0177_4243","latency_s_per_token_outlier"
"INT8","run_0298_7289.log","run_0298_7289","latency_s_per_token_outlier"
"INT8","run_0331_8517.log","run_0331_8517","latency_s_per_token_outlier"
"INT8","run_0460_7354.log","run_0460_7354","latency_s_per_token_outlier"
"INT8","run_0552_1883.log","run_0552_1883","latency_s_per_token_outlier"
"INT8","run_0695_8015.log","run_0695_8015","latency_s_per_token_outlier"
"INT8","run_0732_2651.log","run_0732_2651","latency_s_per_token_outlier"
"INT8","run_0757_7593.log","run_0757_7593","latency_s_per_token_outlier"
"INT8","run_0779_3014.log","run_0779_3014","latency_s_per_token_outlier"
"INT8","run_0002_6611.log","run_0002_6611","memory_mb_outlier"
"INT8","run_0186_2710.log","run_0186_2710","cpu_percent_outlier"
