run_id,run_status,model,quantization_level,task_type,row_id,f1,rougeL,tokens_per_sec,avg_cpu_percent,max_rss_mb,energy per token (J/t)
run_0058,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,1535,0.5,,2.09,84.74464285714286,6127.5234375,1.1203768818261697
run_0067,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,3928,,0.09375,2.2,79.45065789473684,6127.5234375,0.0470657489541059
run_0095,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,6000,0.6,,2.07,82.09775641025641,6127.5234375,0.7575976002684599
run_0103,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,1506,0.0,,2.2,81.15239726027397,6127.5234375,0.2857900007971182
run_0151,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,9959,,0.2,2.21,83.1798245614035,6127.5234375,0.4942205443002125
run_0158,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,9893,,0.1917808219178082,2.21,74.76388888888889,6127.60546875,0.336419003697905
run_0172,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,632,,0.2142857142857142,2.15,82.69402985074628,6127.60546875,1.197092421167731
run_0175,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,6541,,0.2711864406779661,2.12,79.39273648648648,6127.60546875,0.8224404779750137
run_0217,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,8502,,0.1290322580645161,2.23,82.28968253968254,6127.60546875,0.3773342172964695
run_0265,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,1617,,0.1304347826086956,2.25,80.08482142857143,6127.6484375,1.4318188828233194
run_0307,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,8604,0.0,,2.25,81.20663265306122,6127.6484375,0.315038568428744
run_0315,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,4048,1.0,,2.04,83.91780821917808,6127.6484375,0.2461673157809218
run_0327,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,6453,0.5,,2.21,83.6570945945946,6127.6953125,0.2932145966840353
run_0367,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,6020,,0.0454545454545454,1.99,81.53977272727273,6127.71875,0.4665516814483368
run_0377,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,7728,1.0,,2.2,74.78472222222223,6127.71875,0.2187023238242766
run_0434,"COMPLETED
",Qwen2.5-3B,FP16,SUMM_SHORT,3752,,0.2682926829268293,2.22,71.154296875,6127.71875,0.4971073713994535
